,78553818,Generate Yearly Report for Vendor,WI4,Open,2020-03-20
,78553838,Research Client Check Copy,WI2,Open,2020-03-22
,78553871,Verify Account Position,WI1,Open,2020-12-05
,78553827,Process Vendor Invoice,WI3,Open,2017-11-26
,78553814,Generate Yearly Report for Vendor,WI4,Open,2018-09-17
,78553846,Research Client Check Copy,WI2,Open,2019-07-24
,78553829,Process Vendor Invoice,WI3,Open,2017-10-10
,78553843,Research Client Check Copy,WI2,Open,2021-02-20
,78553798,Calculate Client Security Hash,WI5,Open,2021-03-20
,78553807,Generate Yearly Report for Vendor,WI4,Open,2021-08-18
,78553820,Generate Yearly Report for Vendor,WI4,Open,2017-03-27
,78553824,Process Vendor Invoice,WI3,Open,2018-02-01
,78553864,Verify Account Position,WI1,Open,2020-09-11
,78553881,Verify Account Position,WI1,Open,2019-08-07
,78553837,Research Client Check Copy,WI2,Open,2019-03-03
,78553858,Research Client Check Copy,WI2,Open,2017-06-12
,78553872,Verify Account Position,WI1,Open,2017-09-07
,78553879,Verify Account Position,WI1,Open,2018-01-06
,78553809,Generate Yearly Report for Vendor,WI4,Open,2020-05-24
,78553863,Verify Account Position,WI1,Open,2018-02-27
,78553853,Research Client Check Copy,WI2,Open,2019-02-06
,78553792,Calculate Client Security Hash,WI5,Open,2020-05-23
,78553870,Verify Account Position,WI1,Open,2018-02-04
,78553819,Generate Yearly Report for Vendor,WI4,Open,2019-05-10
,78553794,Calculate Client Security Hash,WI5,Open,2020-12-29
,78553835,Research Client Check Copy,WI2,Open,2021-08-02
,78553867,Verify Account Position,WI1,Open,2019-03-25
,78553832,Process Vendor Invoice,WI3,Open,2019-08-23
,78553856,Research Client Check Copy,WI2,Open,2019-09-08
,78553876,Verify Account Position,WI1,Open,2018-02-24
,78553848,Research Client Check Copy,WI2,Open,2020-04-04
,78553869,Verify Account Position,WI1,Open,2019-02-01
,78553813,Generate Yearly Report for Vendor,WI4,Open,2019-08-01
,78553868,Verify Account Position,WI1,Open,2018-10-09
,78553865,Verify Account Position,WI1,Open,2018-01-09
,78553799,Calculate Client Security Hash,WI5,Open,2020-09-10
,78553873,Verify Account Position,WI1,Open,2021-08-24
,78553836,Research Client Check Copy,WI2,Open,2019-12-22
,78553821,Process Vendor Invoice,WI3,Open,2020-09-04
,78553808,Generate Yearly Report for Vendor,WI4,Open,2017-09-21
,78553833,Process Vendor Invoice,WI3,Open,2021-03-11
,78553861,Verify Account Position,WI1,Open,2018-06-10
,78553810,Generate Yearly Report for Vendor,WI4,Open,2021-10-25
,78553834,Research Client Check Copy,WI2,Open,2017-09-19
,78553797,Calculate Client Security Hash,WI5,Open,2021-02-27
,78553854,Research Client Check Copy,WI2,Open,2017-04-02
,78553842,Research Client Check Copy,WI2,Open,2019-08-10
,78553793,Calculate Client Security Hash,WI5,Open,2021-11-17
,78553866,Verify Account Position,WI1,Open,2021-02-02
,78553860,Verify Account Position,WI1,Open,2017-01-21
,78553828,Process Vendor Invoice,WI3,Open,2020-05-16
